"sample_id","site_code_raw","site_code","sample_type","habitat","mapping_status","normalization_note","environment_join_status","fticr_profile_available","qc_flag","nonchim","meets_rarefaction_depth"
"hja2016_109","169","169","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",57915,TRUE
"hja2016_110","76","76","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",113718,TRUE
"hja2016_111","160","160","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",71018,TRUE
"hja2016_114","WS1-5","WS1-5","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",113466,TRUE
"hja2016_116","53","53","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",95287,TRUE
"hja2016_119","56","56","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",569978,TRUE
"hja2016_121","84","84","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",520108,TRUE
"hja2016_122","45","45","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",81642,TRUE
"hja2016_123","54","54","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"LOW_FINAL_RETENTION",276,FALSE
"hja2016_125","56","56","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",74159,TRUE
"hja2016_126","58","58","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",4588,FALSE
"hja2016_161","65","65","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",204,FALSE
"hja2016_164","260","260","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",558490,TRUE
"hja2016_165","360","360","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",36,FALSE
"hja2016_166","57","57","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",142090,TRUE
"hja2016_167","WS3-1","WS3-1","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",38097,TRUE
"hja2016_168","WS3-4","WS3-4","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",196,FALSE
"hja2016_169","WS3-2","WS3-2","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",65373,TRUE
"hja2016_170","WS3-3","WS3-3","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",83233,TRUE
"hja2016_171","WS3-5","WS3-5","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",116,FALSE
"hja2016_174","WS1_S8","WS1-8","stream sediment","sediment","MATCHED_NORMALIZED_SITE_CODE","Normalized WS1_S8 to master-data site code WS1-8.","MATCHED_AQUATIC_MASTER",TRUE,"OK",6532,FALSE
"hja2016_176","WS1-2","WS1-2","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",64,FALSE
"hja2016_177","WS1-3","WS1-3","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",91368,TRUE
"hja2016_179","WS1-5","WS1-5","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",46471,TRUE
"hja2016_180","WS1-6","WS1-6","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",125211,TRUE
"hja2016_181","177","177","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",90331,TRUE
"hja2016_193","HJA-2016_soil_12","HJA-2016_soil_12","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",87552,TRUE
"hja2016_194","HJA-2016_soil_13","HJA-2016_soil_13","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",61413,TRUE
"hja2016_195","HJA-2016_soil_14","HJA-2016_soil_14","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",363982,TRUE
"hja2016_196","HJA-2016_soil_16","HJA-2016_soil_16","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",1104671,TRUE
"hja2016_197","HJA-2016_soil_17","HJA-2016_soil_17","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",45147,TRUE
"hja2016_198","HJA-2016_soil_18","HJA-2016_soil_18","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",190457,TRUE
"hja2016_199","HJA-2016_soil_19","HJA-2016_soil_19","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",133349,TRUE
"hja2016_200",,,"terrestrial soil","soil","REVIEW_UNRESOLVED_SITE","Missing from local sample list; NCBI BioSample SAMN12129905 identifies a soil metagenome, but the soil site is unresolved.","MATCHED_SOIL_METADATA",FALSE,"OK",249607,TRUE
