"sample_id","estimate","standard_error","lower","upper","model","reasonable","warning","site_code","habitat","nonchim"
"hja2016_161",34.2675590719725,7.88965989114832,26.7016486233433,63.0216434459871,"Negative Binomial",FALSE,"","65","sediment",204
"hja2016_164",7582.54569510241,17.5366244125413,7553.28911584499,7622.73543436052,"Negative Binomial",FALSE,"","260","sediment",558490
"hja2016_165",2.00000003045996,0.00017452784655079,2.00000000000876,2.00010590611198,"Poisson",FALSE,"","360","sediment",36
"hja2016_166",4927.5776561066,12.9087060170597,4906.3041346,4957.50370041573,"Negative Binomial",FALSE,"","57","sediment",142090
"hja2016_167",3428.46059245543,262.791870719952,3306.31991628007,4868.4859956436,"Kemp",TRUE,"","WS3-1","sediment",38097
"hja2016_168",56.5210090719391,11.721568377358,44.3194575092208,96.7099748173272,"Negative Binomial",FALSE,"","WS3-4","sediment",196
"hja2016_169",4031.61054482275,20.4966556606928,3997.20745591308,4078.31592896819,"Negative Binomial",FALSE,"","WS3-2","sediment",65373
"hja2016_170",4885.91819893937,25.0821323786825,4842.37928042558,4941.27683269517,"Negative Binomial",FALSE,"","WS3-3","sediment",83233
"hja2016_171",77.0964467005076,35.6878033104862,47.591503728133,221.274541525127,"Negative Binomial",TRUE,"","WS3-5","sediment",116
"hja2016_174",935.449143973182,749.335614909869,754.002278570416,5818.64625158816,"Kemp",TRUE,"","WS1-8","sediment",6532
"hja2016_176",21.9322487819705,2.80990142198502,19.1166633587088,31.8471280200219,"Poisson",FALSE,"","WS1-2","sediment",64
"hja2016_177",4459.12257510608,23.8370730272144,4418.61144502475,4512.80385709555,"Negative Binomial",FALSE,"","WS1-3","sediment",91368
"hja2016_179",3626.94871533797,674.639941731626,3246.89210418829,7023.01454401331,"Kemp",TRUE,"","WS1-5","sediment",46471
"hja2016_180",4890.29864971119,22.9705628955893,4850.68339131363,4941.31229598207,"Negative Binomial",FALSE,"","WS1-6","sediment",125211
"hja2016_181",5102.29988360624,22.3641537841923,5063.49257775323,5151.67621004485,"Negative Binomial",FALSE,"","177","sediment",90331
"hja2016_193",2279.80143529225,23.6211364347614,2248.75599836342,2346.86941718503,"Kemp",TRUE,"","HJA-2016_soil_12","soil",87552
"hja2016_194",4380.94959108047,484.02225252329,4274.65827036108,7575.5432364396,"Kemp",TRUE,"","HJA-2016_soil_13","soil",61413
"hja2016_195",4956.07694215412,11.5085888753941,4937.66074667652,4983.49870140299,"Negative Binomial",FALSE,"","HJA-2016_soil_14","soil",363982
"hja2016_196",13415.5675056989,11.201104970065,13397.0722038075,13441.4875922496,"Negative Binomial",FALSE,"","HJA-2016_soil_16","soil",1104671
"hja2016_197",2038.199928096,90.6816433091304,2012.23076473299,2612.11901860197,"Kemp",TRUE,"","HJA-2016_soil_17","soil",45147
"hja2016_198",5638.75973760367,12.0626353158011,5618.98336582295,5666.86043596164,"Negative Binomial",FALSE,"","HJA-2016_soil_18","soil",190457
"hja2016_199",4088.35421117274,11.0327957408163,4070.35885586162,4114.17939654147,"Negative Binomial",FALSE,"","HJA-2016_soil_19","soil",133349
"hja2016_200",6273.136387123,14.7832714837519,6248.73014165917,6307.3510209977,"Negative Binomial",FALSE,"",,"soil",249607
