date,time,watershed,Site.Code,latitude,longitude,centerline_UTMx,centerline_UTMy,valley5m_UTMx,valley5m_UTMy,drainage_area_m2,drainage_area_ha,temp_SW_degC,DO_SW_mgl,DO_SW_perc,DO_SW_press_mbar,NPOC_SW_mgl,TDN_SW_mgl,temp_HZ_degC,DO_HZ_mgl,DO_HZ_perc,DO_HZ_press_mbar,NPOC_HZ_mgl,TDN_HZ_mgl,hydro_cond_1_mps,hydro_cond_2_mps,hydro_cond_3_mps,sed_percent_organic_content
28-Jul-16,11:45,Lookout Creek,55,44.230894,-122.217418,562501.3459,4897814.75,562502.4006,4897818.624,51528972.9,5152.9,15,9.7,96,953,2.275,0.05006,16.3,9.53,97.1,952.6,2.593,0,3.17E-04,5.52E-04,6.78E-04,3.771151074
27-Jul-16,15:30,,56,44.230835,-122.213057,562839.331,4897811.75,562838.7767,4897812.946,995132.7,99.5,16.8,9.21,94.6,950.4,3.065,0.02043,22.9,8.72,100.4,950.4,2.761,0.02882,,,,5.150942166
27-Jul-16,16:30,McRae Creek,Site 57,44.23782,-122.202643,563668.2944,4898599.715,563665.947,4898598.516,14888236.5,1488.8,16.8,9.24,95,948.8,1.271,0,19/17.9,8.94/8.90,96.5/94.7,948.9,A,0,5.04E-04,1.21E-03,6.09E-04,4.100883726
28-Jul-16,15:00,,58,44.236601,-122.160986,566998.1473,4898497.72,567001.3975,4898500.188,672478.3,67.2,12.5,9.49,89.1,922.5,1.85,0,16.1,9.43,95.3,922.5,2.035,0,1.81E-04,1.91E-04,2.15E-04,NA
27-Jul-16,9:00,,60,44.238403,-122.155983,567391.13,4898693.711,567388.0445,4898691.778,430909.1,43.1,11.6,10.04,92.2,918.2,2.397,0,15.6,8.14,81.9,918.2,2.509,0.02017,4.89E-06,5.00E-06,5.29E-06,10.72456408
28-Jul-16,12:30,,S_64,44.234065,-122.147367,570527.9914,4895508.852,570529.0049,4895507.315,334824.4,33.5,11.7,9.62,88.1,880.6,2.167,0,14.6,8.93,88.2,880.7,1.344,0.3472,1.20E-04,1.23E-04,1.50E-04,16.25904911
29-Jul-16,10:40,Tributary of Lookout,Site 065,44.230497,-122.125456,569840.0218,4897845.749,569837.8661,4897844.862,738826.8,73.9,11.5,10.1,93.2,905.8,1.001,0,13.5,9.91,95.3,905.6,A,0,6.88E-04,4.71E-04,1.22E-03,3.867848509
28-Jul-16,9:21,Lookout Creek,S_66,44.233419,-122.148934,567970.1044,4898153.735,567967.0306,4898157.869,13607339.5,1360.7,10.2,10.45,93.4,928.9,2.041,0.02609,12.3,10.43,97.2,929,1.736,0,3.51E-04,2.65E-04,2.68E-04,3.617595987
29-Jul-16,13:24,Lookout Creek,Site 067,44.231872,-122.159544,567119.142,4897968.743,567117.3479,4897968.194,15581095.1,1558.1,12,10.31,95.6,930.01,1.067,0,13.6,10.24,97.6,936.1,A,0,7.21E-04,8.87E-04,8.63E-04,4.030602724
28-Jul-16,9:45,Lookout Creek,68,44.231421,-122.184289,565145.2291,4897899.746,565146.5995,4897897.741,30321820.5,3032.2,12.4,9.91,92.9,945.2,1.973,0,13.2,8.68,82.8,944.9,2.947,0.03178,5.18E-04,4.76E-04,4.87E-04,3.888323726
